GBYNDPICDW3UH6YHND6TJ5OFX7HFMKSGAKZ72FIKP36UT5DEWPSIVF5E, 46
GA3RDNURIBEYJJUEIZQORMUBN6T4ZQRBFGN3VFTC674LEHWEYNZK35DH, 19
GDUFFTT26HP3MVCBZ3JKEMCNN54BC3KLKIFNJFLQPVBTF2UIYPG2UK6J, 42
GAZI75WOB7MLP23CZNEJJMEA2DVYQVVQAP3OEBR3TVWE5R2TWNKES4O5, 47
GAF5VJYAQYNUCQKJRSOP33XHKDUTSMJF4LDEU2IEE5V754HBDUH3EXQL, 28
GDMSUW26Q5UGVYXWNPT4MDXPDMRJBUME7ZUWSPO2LWF6IAMH3KXBU7RV, 54
GD3NK2RZSPGYTFIIV6V27E5PR76JQJBTB7X6UCQJM3QH5C3GJSGGZ5YQ, 51
GAVXQZNPWKH6WPO73K62UZKYPXOBJTG4DLKHCXNREY3ISIIN6VVPFAV7, 51
GBMJROBQT434UM72EC7QIWMKV6A7AQKZZOICFHT25G6IHQOFVC2RJDG7, 59
GDLVK2HXH4IWEG3EFFMGY6X6D4A6X7LKPBB6AUXIQS645GAPTDNXI7GJ, 45
